run,average_distance_travelled_per_team,average_distance_travelled_per_game,total_distance_travelled,longest_distance_travelled_by_a_team,fixture_with_longest_distance
1,6013,1370,216485,Qarabağ - 15366,Qarabağ (baku) v Rangers (glasgow) - 4240.0
2,5218,1169,187842,Sevilla - 8826,Galatasaray (istanbul) v Sevilla (seville) - 3019.0
3,5163,1157,185873,Dynamo Kyiv - 9221,Dynamo Kyiv (bucharest) v Real Betis (seville) - 2788.0
4,5237,1181,188532,Adana Demirspor - 12551,Sevilla (seville) v Adana Demirspor (adana) - 3629.0
5,5089,1148,183215,APOEL - 11332,Real Madrid (madrid) v APOEL (nicosia) - 3285.0
6,4943,1109,177957,Bodø/Glimt - 12459,Bodø/Glimt (bodø) v Real Madrid (madrid) - 3186.0
7,5276,1199,189951,Rangers - 8296,Sevilla (seville) v Fenerbahçe (istanbul) - 3019.0
8,4935,1116,177646,Galatasaray - 9924,Galatasaray (istanbul) v FC Porto (porto) - 3126.0
9,5217,1180,187800,Sevilla - 8555,Dynamo Kyiv (bucharest) v Sevilla (seville) - 2788.0
10,5474,1234,197050,APOEL - 9273,APOEL (nicosia) v Celtic (glasgow) - 3652.0
11,4907,1101,176669,Bodø/Glimt - 8254,Bodø/Glimt (bodø) v Atlético de Madrid (madrid) - 3186.0
12,5516,1238,198567,Qarabağ - 16784,Qarabağ (baku) v Celtic (glasgow) - 4240.0
13,5255,1183,189193,Atlético de Madrid - 8686,BATE Borisov (borisov) v Atlético de Madrid (madrid) - 2834.0
14,5015,1124,180542,Galatasaray - 10553,Galatasaray (istanbul) v Braga (braga) - 3103.0
15,5739,1305,206614,Sheriff - 10350,Real Betis (seville) v Sheriff (tiraspol) - 3099.0
16,5484,1223,197408,Galatasaray - 11147,Galatasaray (istanbul) v Benfica (lisbon) - 3237.0
17,5346,1202,192459,Sevilla - 9182,Benfica (lisbon) v Olympiacos (piraeus) - 2849.0
18,5732,1277,206342,Bodø/Glimt - 11633,Bodø/Glimt (bodø) v Real Betis (seville) - 3562.0
19,5266,1175,189586,Bodø/Glimt - 12246,Real Betis (seville) v Bodø/Glimt (bodø) - 3562.0
20,5337,1214,192139,Fenerbahçe - 9631,Sheriff (tiraspol) v Sevilla (seville) - 3099.0
21,6176,1400,222319,Qarabağ - 15471,Liverpool (liverpool) v Qarabağ (baku) - 4162.0
22,6403,1428,230519,H. Beer Sheva - 15351,Qarabağ (baku) v Real Madrid (madrid) - 4466.0
23,5094,1152,183390,Sevilla - 8011,Ludogorets (razgrad) v FC Porto (porto) - 2878.0
24,5224,1188,188070,Qarabağ - 15392,Qarabağ (baku) v Sporting CP (lisbon) - 4968.0
25,5373,1186,193429,Bodø/Glimt - 12685,Bodø/Glimt (bodø) v Benfica (lisbon) - 3495.0
26,5241,1184,188686,Bodø/Glimt - 12847,Bodø/Glimt (bodø) v Real Betis (seville) - 3562.0
27,5298,1204,190722,Olympiacos - 9493,Manchester United (manchester) v APOEL (nicosia) - 3431.0
28,5219,1169,187882,Bodø/Glimt - 13168,Bodø/Glimt (bodø) v Benfica (lisbon) - 3495.0
29,5214,1177,187687,Qarabağ - 17345,Osasuna (pamplona) v Qarabağ (baku) - 4227.0
30,5218,1194,187854,Galatasaray - 9983,Sevilla (seville) v Bodø/Glimt (bodø) - 3562.0
31,5543,1263,199554,Qarabağ - 12806,Qarabağ (baku) v Real Madrid (madrid) - 4466.0
32,5180,1181,186491,Adana Demirspor - 12044,Adana Demirspor (adana) v Braga (braga) - 3761.0
33,5021,1125,180763,Sporting CP - 8852,Zorya Luhansk (lublin) v Real Betis (seville) - 2718.0
34,5016,1139,180558,Fenerbahçe - 9920,Sporting CP (lisbon) v Fenerbahçe (istanbul) - 3237.0
35,5440,1221,195849,Flora Tallinn - 11030,Flora Tallinn (tallinn) v Real Betis (seville) - 3283.0
36,5238,1175,188558,Galatasaray - 12012,Sevilla (seville) v Galatasaray (istanbul) - 3019.0
37,5777,1296,207958,APOEL - 12931,Brighton (brighton) v APOEL (nicosia) - 3194.0
38,4754,1087,171130,Real Betis - 8042,Dynamo Kyiv (bucharest) v FC Porto (porto) - 2834.0
39,5176,1155,186321,Bodø/Glimt - 13341,Benfica (lisbon) v Bodø/Glimt (bodø) - 3495.0
40,5115,1151,184140,Beşiktaş - 9248,Benfica (lisbon) v Beşiktaş (istanbul) - 3237.0
41,5158,1159,185691,Sevilla - 9204,Sheriff (tiraspol) v Atlético de Madrid (madrid) - 2763.0
42,5889,1319,212000,Bodø/Glimt - 14350,Sporting CP (lisbon) v Bodø/Glimt (bodø) - 3495.0
43,5668,1286,204033,Qarabağ - 16672,Qarabağ (baku) v Sevilla (seville) - 4767.0
44,4943,1128,177937,Copenhagen - 8379,Riga (riga) v Sevilla (seville) - 3101.0
45,5449,1235,196167,Dila - 12614,Dila (gori) v Rangers (glasgow) - 3760.0
46,5872,1340,211374,Qarabağ - 13599,Sevilla (seville) v Qarabağ (baku) - 4767.0
47,5505,1232,198184,Bodø/Glimt - 11462,Bodø/Glimt (bodø) v Sevilla (seville) - 3562.0
48,5345,1215,192424,APOEL - 10331,APOEL (nicosia) v Rangers (glasgow) - 3652.0
49,5503,1232,198114,Fenerbahçe - 11648,Sheriff (tiraspol) v Sevilla (seville) - 3099.0
50,5788,1314,208351,Qarabağ - 14883,Qarabağ (baku) v Benfica (lisbon) - 4968.0
51,4924,1114,177260,Sevilla - 9561,Rangers (glasgow) v Olympiacos (piraeus) - 2872.0
52,6099,1362,219566,Qarabağ - 21087,Benfica (lisbon) v Qarabağ (baku) - 4968.0
53,5715,1314,205733,Qarabağ - 14613,Qarabağ (baku) v Real Madrid (madrid) - 4466.0
54,5931,1323,213529,H. Beer Sheva - 13216,H. Beer Sheva (beer sheva) v Rangers (glasgow) - 4078.0
55,5231,1171,188300,Sevilla - 9653,Brighton (brighton) v Fenerbahçe (istanbul) - 2483.0
56,5534,1250,199230,Bodø/Glimt - 10122,Galatasaray (istanbul) v Benfica (lisbon) - 3237.0
57,5222,1185,188005,Bodø/Glimt - 11862,Bodø/Glimt (bodø) v Benfica (lisbon) - 3495.0
58,5346,1221,192438,Qarabağ - 12047,Qarabağ (baku) v Villarreal (villarreal) - 4189.0
59,5772,1318,207781,Qarabağ - 14537,Qarabağ (baku) v Real Madrid (madrid) - 4466.0
60,5572,1256,200602,Olympiacos - 11067,Dynamo Kyiv (bucharest) v Benfica (lisbon) - 2975.0
61,5823,1320,203805,Bodø/Glimt - 10983,FC Porto (porto) v APOEL (nicosia) - 3694.0
62,4807,1079,173042,Sporting CP - 10661,Fenerbahçe (istanbul) v Sporting CP (lisbon) - 3237.0
63,5480,1235,197277,APOEL - 15258,Liverpool (liverpool) v APOEL (nicosia) - 3475.0
64,5056,1137,182011,Sevilla - 9140,FC Porto (porto) v Shkupi (skopje) - 2488.0
65,5929,1346,213453,Maccabi Haifa - 12671,Celtic (glasgow) v Maccabi Haifa (haifa) - 3952.0
66,5115,1162,184128,Bodø/Glimt - 13510,Real Betis (seville) v Bodø/Glimt (bodø) - 3562.0
67,5802,1300,208887,Sevilla - 10840,Sheriff (tiraspol) v Benfica (lisbon) - 3264.0
68,5693,1290,204965,Bodø/Glimt - 11190,Víkingur Reykjavík (reykjavík) v Roma (rome) - 3295.0
69,4575,1038,164686,Ludogorets - 8044,Ludogorets (razgrad) v Sevilla (seville) - 2814.0
70,5397,1220,194278,BATE Borisov - 9175,BATE Borisov (borisov) v Sevilla (seville) - 3212.0
71,5586,1260,201079,Maccabi Haifa - 11715,Liverpool (liverpool) v Maccabi Haifa (haifa) - 3772.0
72,5707,1307,205441,Qarabağ - 13414,Qarabağ (baku) v Sevilla (seville) - 4767.0
73,5210,1194,187569,Olympiacos - 9563,Manchester City (manchester) v Olympiacos (piraeus) - 2624.0
74,5760,1292,207373,APOEL - 16438,H. Beer Sheva (beer sheva) v Rangers (glasgow) - 4078.0
75,5982,1353,215361,Qarabağ - 14200,Real Madrid (madrid) v Qarabağ (baku) - 4466.0
76,5415,1229,194942,APOEL - 11603,APOEL (nicosia) v Benfica (lisbon) - 3765.0
77,5495,1244,197828,Galatasaray - 9121,Benfica (lisbon) v RFS (riga) - 3151.0
78,4871,1102,175341,Fenerbahçe - 8502,Fenerbahçe (istanbul) v Real Madrid (madrid) - 2739.0
79,5917,1320,213027,Qarabağ - 17698,Liverpool (liverpool) v Qarabağ (baku) - 4162.0
80,5408,1219,194700,Galatasaray - 10770,Benfica (lisbon) v BATE Borisov (borisov) - 3301.0
81,4852,1100,174676,Ludogorets - 10609,Sporting CP (lisbon) v Ludogorets (razgrad) - 3011.0
82,4940,1124,177844,Galatasaray - 7931,Galatasaray (istanbul) v Liverpool (liverpool) - 2748.0
83,5075,1124,182703,Fenerbahçe - 11536,Fenerbahçe (istanbul) v Real Betis (seville) - 3019.0
84,5640,1256,203050,Bodø/Glimt - 12154,Bodø/Glimt (bodø) v Sevilla (seville) - 3562.0
85,5517,1238,198608,H. Beer Sheva - 11278,Chelsea (london) v H. Beer Sheva (beer sheva) - 3625.0
86,5087,1158,183141,HJK - 8641,Sevilla (seville) v HJK (helsinki) - 3339.0
87,5471,1239,196963,Manchester United - 8168,Olympiacos (piraeus) v Manchester United (manchester) - 2624.0
88,5573,1277,200628,Dinamo Batumi - 11240,Dinamo Batumi (batumi) v Real Betis (seville) - 4069.0
89,5678,1283,204411,Qarabağ - 13297,Real Sociedad (san sebastián) v Qarabağ (baku) - 4239.0
90,4862,1073,175044,Fenerbahçe - 10370,Manchester City (manchester) v Fenerbahçe (istanbul) - 2703.0
91,4909,1109,176729,Sevilla - 9301,Copenhagen (copenhagen) v Sevilla (seville) - 2463.0
92,5392,1218,194108,APOEL - 12229,Bodø/Glimt (bodø) v Sporting CP (lisbon) - 3495.0
93,5857,1359,210852,Qarabağ - 14727,Benfica (lisbon) v Qarabağ (baku) - 4968.0
94,5293,1195,190555,Sevilla - 10588,Fenerbahçe (istanbul) v Sporting CP (lisbon) - 3237.0
95,5564,1265,200286,APOEL - 13846,Benfica (lisbon) v APOEL (nicosia) - 3765.0
96,5415,1220,194937,Bodø/Glimt - 11360,Rangers (glasgow) v Olympiacos (piraeus) - 2872.0
97,6167,1396,221996,H. Beer Sheva - 13478,H. Beer Sheva (beer sheva) v Braga (braga) - 3989.0
98,5955,1304,214372,Qarabağ - 21060,FC Porto (porto) v Qarabağ (baku) - 4831.0
99,5400,1245,194410,APOEL - 12057,Hearts (edinburgh) v APOEL (nicosia) - 3595.0
100,4812,1084,173239,Sevilla - 8560,Galatasaray (istanbul) v Atlético de Madrid (madrid) - 2739.0
101,5263,1199,189457,Beşiktaş - 11157,Benfica (lisbon) v Beşiktaş (istanbul) - 3237.0
102,4902,1107,176486,Real Betis - 8395,Crvena zvezda (belgrade) v Sevilla (seville) - 2350.0
103,5501,1235,198030,Olympiacos - 10637,Olympiacos (piraeus) v Real Betis (seville) - 2602.0
104,4895,1106,176217,Maccabi Haifa - 13433,Liverpool (liverpool) v Maccabi Haifa (haifa) - 3772.0
105,5240,1191,188626,Galatasaray - 8764,APOEL (nicosia) v Sevilla (seville) - 3511.0
106,4627,1070,166573,Galatasaray - 9181,Newcastle (newcastle upon tyne) v Galatasaray (istanbul) - 2723.0
107,5418,1230,195038,Fenerbahçe - 10488,Fenerbahçe (istanbul) v Benfica (lisbon) - 3237.0
108,4883,1104,175776,Sevilla - 9269,Riga (riga) v Real Madrid (madrid) - 2713.0
109,5350,1207,192589,Galatasaray - 9684,Bodø/Glimt (bodø) v Napoli (naples) - 2939.0
110,5127,1163,184567,AEK Larnaca - 9703,Atlético de Madrid (madrid) v AEK Larnaca (larnaca) - 3318.0
111,5336,1198,192105,Fenerbahçe - 9863,Real Madrid (madrid) v Bodø/Glimt (bodø) - 3186.0
112,5371,1212,193356,Sevilla - 9411,Galatasaray (istanbul) v FC Porto (porto) - 3126.0
113,4778,1065,171992,Sevilla - 8830,Sevilla (seville) v CFR Cluj (cluj-napoca) - 2636.0
114,5354,1230,192740,HJK - 9773,Bodø/Glimt (bodø) v Sevilla (seville) - 3562.0
115,5550,1250,199809,Sevilla - 13195,Dinamo Tbilisi (tbilisi) v Sevilla (seville) - 4317.0
116,5658,1269,203688,Sevilla - 11236,Bodø/Glimt (bodø) v Atlético de Madrid (madrid) - 3186.0
117,5613,1270,202063,Qarabağ - 14993,Rangers (glasgow) v Qarabağ (baku) - 4240.0
118,5692,1268,204905,Maccabi Haifa - 17349,Celtic (glasgow) v Maccabi Haifa (haifa) - 3952.0
119,5047,1150,181685,Benfica - 9424,Fenerbahçe (istanbul) v Benfica (lisbon) - 3237.0
120,5098,1143,183517,Sporting CP - 10045,Barcelona (barcelona) v Flora Tallinn (tallinn) - 2541.0
121,5340,1214,192253,H. Beer Sheva - 12400,H. Beer Sheva (beer sheva) v Liverpool (liverpool) - 3890.0
122,5177,1170,186365,CFR Cluj - 9080,Fenerbahçe (istanbul) v Sporting CP (lisbon) - 3237.0
123,5745,1274,206811,Qarabağ - 14444,Qarabağ (baku) v Benfica (lisbon) - 4968.0
124,5407,1241,194657,Maccabi Haifa - 12453,Maccabi Haifa (haifa) v Rangers (glasgow) - 3952.0
125,4980,1117,179270,APOEL - 13173,Atlético de Madrid (madrid) v APOEL (nicosia) - 3285.0
126,5730,1280,206286,Sevilla - 12636,Maccabi Haifa (haifa) v Rangers (glasgow) - 3952.0
127,5749,1296,206976,Ludogorets - 11137,H. Beer Sheva (beer sheva) v FC Porto (porto) - 4001.0
128,4588,1028,165152,Sevilla - 9301,Crvena zvezda (belgrade) v Sevilla (seville) - 2350.0
129,5653,1275,203491,Qarabağ - 16281,Qarabağ (baku) v Braga (braga) - 4804.0
130,5381,1205,193723,CFR Cluj - 10664,Rangers (glasgow) v Olympiacos (piraeus) - 2872.0
131,5154,1158,185562,Olympiacos - 9736,Newcastle (newcastle upon tyne) v Olympiacos (piraeus) - 2681.0
132,5188,1159,186785,Crvena zvezda - 8203,Rangers (glasgow) v Gżira (gżira) - 2632.0
133,5476,1238,197154,Fenerbahçe - 10772,KÍ Klaksvík (klaksvík) v Fenerbahçe (istanbul) - 3329.0
134,5692,1287,204914,Pyunik - 12877,Pyunik (yerevan) v Atlético de Madrid (madrid) - 4037.0
135,5109,1158,183931,Olympiacos - 11801,Sevilla (seville) v Olympiacos (piraeus) - 2602.0
136,4941,1112,177865,Dynamo Kyiv - 10384,Real Betis (seville) v FCSB (bucharest) - 2788.0
137,5746,1304,206859,Pyunik - 13296,Rangers (glasgow) v H. Beer Sheva (beer sheva) - 4078.0
138,5636,1276,202878,Qarabağ - 17464,Qarabağ (baku) v Hearts (edinburgh) - 4174.0
139,4590,1041,165242,Ballkani - 7768,Braga (braga) v Ballkani (prishtina) - 2434.0
140,5820,1317,209506,Qarabağ - 19873,Benfica (lisbon) v Qarabağ (baku) - 4968.0
141,5015,1134,180523,Real Betis - 9208,Fenerbahçe (istanbul) v Benfica (lisbon) - 3237.0
142,5426,1216,195337,Galatasaray - 10689,Adana Demirspor (adana) v Sevilla (seville) - 3629.0
143,5122,1148,184409,Benfica - 8021,Legia Warszawa (warsaw) v Benfica (lisbon) - 2759.0
144,5294,1206,190586,Sheriff - 8954,Real Madrid (madrid) v Sheriff (tiraspol) - 2763.0
145,4673,1052,168238,Benfica - 9303,Crvena zvezda (belgrade) v Benfica (lisbon) - 2530.0
146,5222,1188,187982,Adana Demirspor - 11045,Bodø/Glimt (bodø) v Sporting CP (lisbon) - 3495.0
147,4735,1064,170464,Atlético de Madrid - 8447,Sevilla (seville) v Malmö FF (malmö) - 2479.0
148,4841,1092,174260,Sevilla - 7884,Sevilla (seville) v Malmö FF (malmö) - 2479.0
149,5762,1303,207422,Galatasaray - 13811,Maccabi Haifa (haifa) v Manchester City (manchester) - 3728.0
150,5451,1225,196240,Real Betis - 9419,Benfica (lisbon) v Lech Poznań (poznań) - 2511.0
151,5243,1180,188745,Sheriff - 10467,Sevilla (seville) v Flora Tallinn (tallinn) - 3283.0
152,4687,1077,168746,Sevilla - 7693,CFR Cluj (cluj-napoca) v Real Betis (seville) - 2636.0
153,5818,1312,209433,Bodø/Glimt - 12978,Ararat-Armenia (yerevan) v Liverpool (liverpool) - 3819.0
154,5322,1199,191595,Olympiacos - 10635,Dynamo Kyiv (bucharest) v Sevilla (seville) - 2788.0
155,6108,1373,219904,Bodø/Glimt - 13036,APOEL (nicosia) v Bodø/Glimt (bodø) - 3770.0
156,4687,1054,168735,Sevilla - 9765,Zorya Luhansk (lublin) v Sevilla (seville) - 2718.0
157,5958,1343,214494,Qarabağ - 13297,Qarabağ (baku) v Braga (braga) - 4804.0
158,6021,1372,216752,H. Beer Sheva - 14505,FC Porto (porto) v H. Beer Sheva (beer sheva) - 4001.0
159,5005,1148,180195,Fenerbahçe - 9443,Fenerbahçe (istanbul) v Benfica (lisbon) - 3237.0
160,4978,1117,179195,Fenerbahçe - 9874,Real Madrid (madrid) v Fenerbahçe (istanbul) - 2739.0
161,5569,1254,200469,Fenerbahçe - 12792,H. Beer Sheva (beer sheva) v FC Porto (porto) - 4001.0
162,5365,1228,193155,Qarabağ - 14030,Atlético de Madrid (madrid) v Qarabağ (baku) - 4466.0
163,5709,1305,205514,Pyunik - 12051,Manchester United (manchester) v Pyunik (yerevan) - 3769.0
164,5628,1272,202602,Ludogorets - 11418,Sevilla (seville) v H. Beer Sheva (beer sheva) - 3776.0
165,4988,1139,179551,Olympiacos - 10340,FC Porto (porto) v Ludogorets (razgrad) - 2878.0
166,5424,1245,195272,Qarabağ - 14781,Qarabağ (baku) v Atlético de Madrid (madrid) - 4466.0
167,4931,1120,177530,Ludogorets - 11148,Sevilla (seville) v HJK (helsinki) - 3339.0
168,5255,1185,189191,Bodø/Glimt - 11839,Bodø/Glimt (bodø) v Benfica (lisbon) - 3495.0
169,5428,1215,195391,Sevilla - 10281,Rangers (glasgow) v Olympiacos (piraeus) - 2872.0
170,5257,1186,189239,Bodø/Glimt - 11819,Bodø/Glimt (bodø) v Benfica (lisbon) - 3495.0
171,5620,1263,202337,Rangers - 9739,Flora Tallinn (tallinn) v Sevilla (seville) - 3283.0
172,5372,1203,193382,Sporting CP - 10114,BATE Borisov (borisov) v Sporting CP (lisbon) - 3301.0
173,5089,1150,183219,Sporting CP - 9427,Real Betis (seville) v Beşiktaş (istanbul) - 3019.0
174,4718,1066,169853,APOEL - 12831,Celtic (glasgow) v APOEL (nicosia) - 3652.0
175,6330,1416,227883,Qarabağ - 17530,Qarabağ (baku) v FC Porto (porto) - 4831.0
176,5202,1180,187259,Qarabağ - 14848,Rangers (glasgow) v Qarabağ (baku) - 4240.0
177,5661,1276,203787,APOEL - 11808,APOEL (nicosia) v Liverpool (liverpool) - 3475.0
178,4862,1101,175016,CFR Cluj - 8495,CFR Cluj (cluj-napoca) v Sevilla (seville) - 2636.0
179,5428,1236,195393,H. Beer Sheva - 13417,Rennes (rennes) v H. Beer Sheva (beer sheva) - 3591.0
180,5383,1228,193801,Fenerbahçe - 10913,Real Betis (seville) v Fenerbahçe (istanbul) - 3019.0
181,4950,1123,178216,Bodø/Glimt - 8697,Bodø/Glimt (bodø) v Sporting CP (lisbon) - 3495.0
182,5065,1148,182327,Galatasaray - 10883,Real Betis (seville) v Galatasaray (istanbul) - 3019.0
183,5760,1309,207351,Ordabasy - 18497,Ordabasy (shymkent) v Paris Saint-Germain (paris) - 5110.0
184,5180,1187,186497,Neftçi - 13696,Neftçi (baku) v Sevilla (seville) - 4767.0
185,6068,1338,218463,Qarabağ - 21006,Qarabağ (baku) v Sevilla (seville) - 4767.0
186,5174,1172,186255,Fenerbahçe - 8931,Riga (riga) v Benfica (lisbon) - 3151.0
187,5701,1284,205252,Bodø/Glimt - 10002,Real Betis (seville) v Bodø/Glimt (bodø) - 3562.0
188,5752,1309,207059,Maccabi Haifa - 13794,Benfica (lisbon) v Maccabi Haifa (haifa) - 3997.0
189,5756,1322,207221,Maccabi Haifa - 13589,Real Madrid (madrid) v Pyunik (yerevan) - 4037.0
190,5448,1217,196112,Qarabağ - 15717,Qarabağ (baku) v Villarreal (villarreal) - 4189.0
191,5551,1275,199851,Bodø/Glimt - 11031,Benfica (lisbon) v Bodø/Glimt (bodø) - 3495.0
192,5468,1253,196840,AEK Larnaca - 11397,Sporting CP (lisbon) v AEK Larnaca (larnaca) - 3797.0
193,5154,1159,185549,Galatasaray - 9176,Galatasaray (istanbul) v Rangers (glasgow) - 2912.0
194,4428,1009,159401,Sporting CP - 8040,BATE Borisov (borisov) v Sporting CP (lisbon) - 3301.0
195,5359,1212,192935,Bodø/Glimt - 13738,H. Beer Sheva (beer sheva) v Bodø/Glimt (bodø) - 4225.0
196,5502,1245,198061,Qarabağ - 14438,Qarabağ (baku) v Villarreal (villarreal) - 4189.0
197,4953,1105,178297,Sevilla - 8625,Sevilla (seville) v Riga (riga) - 3101.0
198,5294,1198,190594,APOEL - 11657,Braga (braga) v APOEL (nicosia) - 3678.0
199,4886,1114,175886,Sevilla - 10258,Benfica (lisbon) v Crvena zvezda (belgrade) - 2530.0
200,5110,1178,183947,H. Beer Sheva - 13211,H. Beer Sheva (beer sheva) v Benfica (lisbon) - 4047.0
201,5468,1243,196832,Flora Tallinn - 9928,Lincoln Red Imps (gibraltar) v Flora Tallinn (tallinn) - 3373.0
202,5684,1276,204608,Fenerbahçe - 11013,Fenerbahçe (istanbul) v Benfica (lisbon) - 3237.0
203,5673,1273,204224,Fenerbahçe - 13225,Fenerbahçe (istanbul) v Benfica (lisbon) - 3237.0
204,5554,1248,199936,Qarabağ - 17904,Sevilla (seville) v Qarabağ (baku) - 4767.0
205,5064,1157,182315,Beşiktaş - 8143,Beşiktaş (istanbul) v Rangers (glasgow) - 2912.0
206,5032,1129,181143,Galatasaray - 11069,Rangers (glasgow) v Galatasaray (istanbul) - 2912.0
207,6114,1366,220093,Ararat-Armenia - 12156,Sevilla (seville) v Ararat-Armenia (yerevan) - 4329.0
208,6652,1504,239472,Qarabağ - 14477,Sevilla (seville) v Qarabağ (baku) - 4767.0
209,5103,1150,183693,Fenerbahçe - 9485,Bodø/Glimt (bodø) v FC Porto (porto) - 3224.0
210,5099,1146,183570,Galatasaray - 8858,Manchester United (manchester) v Galatasaray (istanbul) - 2703.0
211,5569,1236,200472,Bodø/Glimt - 12564,FC Porto (porto) v Bodø/Glimt (bodø) - 3224.0
212,5344,1209,192392,Bodø/Glimt - 10356,Bodø/Glimt (bodø) v FC Porto (porto) - 3224.0
213,5402,1195,194476,Maccabi Haifa - 17946,Rangers (glasgow) v Maccabi Haifa (haifa) - 3952.0
214,5537,1257,199340,Ararat-Armenia - 11379,Ararat-Armenia (yerevan) v Sevilla (seville) - 4329.0
215,5537,1234,199343,APOEL - 14464,Real Betis (seville) v HJK (helsinki) - 3339.0
216,5017,1127,180611,Riga - 9789,Braga (braga) v Fenerbahçe (istanbul) - 3103.0
217,4840,1089,174223,Sevilla - 9090,Aston Villa (birmingham) v Galatasaray (istanbul) - 2630.0
218,5103,1161,183716,APOEL - 11409,Manchester United (manchester) v APOEL (nicosia) - 3431.0
219,6512,1466,234441,Qarabağ - 18633,H. Beer Sheva (beer sheva) v KÍ Klaksvík (klaksvík) - 4527.0
220,5141,1186,185064,Qarabağ - 15181,Sevilla (seville) v Qarabağ (baku) - 4767.0
221,5742,1296,206716,Qarabağ - 15847,Qarabağ (baku) v FC Porto (porto) - 4831.0
222,5368,1206,193259,Galatasaray - 11865,Benfica (lisbon) v Dynamo Kyiv (bucharest) - 2975.0
223,5502,1242,198065,Qarabağ - 11831,Qarabağ (baku) v Benfica (lisbon) - 4968.0
224,6061,1371,218199,Qarabağ - 12783,Qarabağ (baku) v Sevilla (seville) - 4767.0
225,4830,1086,173896,Galatasaray - 11387,Galatasaray (istanbul) v Sevilla (seville) - 3019.0
226,5536,1243,199309,Bodø/Glimt - 13337,Real Madrid (madrid) v Bodø/Glimt (bodø) - 3186.0
227,5599,1252,201572,Galatasaray - 10241,Bodø/Glimt (bodø) v Galatasaray (istanbul) - 3054.0
228,5122,1148,184386,Galatasaray - 11434,Galatasaray (istanbul) v Sporting CP (lisbon) - 3237.0
229,5459,1241,196527,Sevilla - 8433,Sheriff (tiraspol) v Sevilla (seville) - 3099.0
230,5360,1209,192949,Fenerbahçe - 8898,Fenerbahçe (istanbul) v Europa (gibraltar) - 3013.0
231,5339,1202,192206,Fenerbahçe - 11269,Braga (braga) v Fenerbahçe (istanbul) - 3103.0
232,5399,1202,194376,Crvena zvezda - 9169,Petrocub (hîncești) v Atlético de Madrid (madrid) - 2675.0
233,5273,1188,189824,Sevilla - 8983,Sevilla (seville) v Fenerbahçe (istanbul) - 3019.0
234,5606,1273,201817,Fenerbahçe - 10493,Real Betis (seville) v Bodø/Glimt (bodø) - 3562.0
235,5641,1279,203059,H. Beer Sheva - 11889,H. Beer Sheva (beer sheva) v Manchester City (manchester) - 3848.0
236,5542,1266,199514,Dinamo Tbilisi - 12233,Sevilla (seville) v Dinamo Tbilisi (tbilisi) - 4317.0
237,5771,1297,207744,Qarabağ - 15841,Real Madrid (madrid) v Qarabağ (baku) - 4466.0
238,5243,1177,188731,Galatasaray - 9986,Sporting CP (lisbon) v Galatasaray (istanbul) - 3237.0
239,5439,1229,195791,Neftçi - 14418,Neftçi (baku) v Rangers (glasgow) - 4240.0
240,5441,1232,195877,Crvena zvezda - 10027,Sevilla (seville) v H. Beer Sheva (beer sheva) - 3776.0
241,5369,1213,193297,Bodø/Glimt - 11468,Galatasaray (istanbul) v Benfica (lisbon) - 3237.0
242,5093,1152,183340,Crvena zvezda - 9512,Braga (braga) v HJK (helsinki) - 3069.0
243,5378,1231,193597,Pyunik - 12856,Braga (braga) v Pyunik (yerevan) - 4385.0
244,5085,1154,183053,Sevilla - 9074,Galatasaray (istanbul) v Sevilla (seville) - 3019.0
245,5227,1200,188167,Sevilla - 9523,Fenerbahçe (istanbul) v Rangers (glasgow) - 2912.0
246,5461,1246,196612,H. Beer Sheva - 13010,Linfield (belfast) v H. Beer Sheva (beer sheva) - 4118.0
247,5456,1243,196417,Qarabağ - 14350,Qarabağ (baku) v Sevilla (seville) - 4767.0
248,5536,1240,199301,Galatasaray - 14807,KÍ Klaksvík (klaksvík) v Galatasaray (istanbul) - 3329.0
249,6143,1367,221163,Qarabağ - 19413,Qarabağ (baku) v Sevilla (seville) - 4767.0
250,5428,1227,195398,H. Beer Sheva - 11847,H. Beer Sheva (beer sheva) v Sevilla (seville) - 3776.0
251,5206,1173,187421,APOEL - 12131,Real Madrid (madrid) v APOEL (nicosia) - 3285.0
252,4652,1051,167457,Manchester United - 7152,Benfica (lisbon) v CFR Cluj (cluj-napoca) - 2796.0
253,5366,1214,193165,Maccabi Haifa - 11725,Manchester City (manchester) v Maccabi Haifa (haifa) - 3728.0
254,4714,1064,169706,Partizan - 7585,Galatasaray (istanbul) v Arsenal (london) - 2501.0
255,5509,1264,198321,Qarabağ - 16262,Rennes (rennes) v Qarabağ (baku) - 4116.0
256,5321,1209,191566,H. Beer Sheva - 12451,St Patrick's (dublin) v H. Beer Sheva (beer sheva) - 4088.0
257,4809,1081,173137,Dynamo Kyiv - 9466,Braga (braga) v Fenerbahçe (istanbul) - 3103.0
258,5074,1146,182682,Fenerbahçe - 10036,Sevilla (seville) v Dynamo Kyiv (bucharest) - 2788.0
259,5348,1207,192514,HJK - 8872,Real Betis (seville) v HJK (helsinki) - 3339.0
260,5203,1175,187313,Olympiacos - 10668,Bodø/Glimt (bodø) v Olympiacos (piraeus) - 3309.0
261,5110,1165,183949,Maccabi Haifa - 13809,Sevilla (seville) v Maccabi Haifa (haifa) - 3733.0
262,5274,1211,189856,Qarabağ - 13104,Qarabağ (baku) v FC Porto (porto) - 4831.0
